serial,old_id,new_id
001,CUR-N01,001-CUR-N01
002,EDGE-04,002-EDGE-04
003,EDGE-05,003-EDGE-05
004,EDGE-06,004-EDGE-06
005,FINAL-01,005-FINAL-01
006,FINAL-03,006-FINAL-03
007,R3-CTX-01,007-R3-CTX-01
008,R3-DOC-01,008-R3-DOC-01
009,R4-CMT-01,009-R4-CMT-01
010,SEC-01,010-SEC-01
011,STK-N01,011-STK-N01
012,W10-PLF-01,012-W10-PLF-01
013,AND-BLD-01,013-AND-BLD-01
014,QML-03,014-QML-03
015,R2-AND-02,015-R2-AND-02
016,W10-DEP-01,016-W10-DEP-01
017,R2-AND-01,017-R2-AND-01
018,R4-EXP-01,018-R4-EXP-01
019,W10-WSM-01,019-W10-WSM-01
020,AND-HIGH-02,020-AND-HIGH-02
021,AND-HIGH-03,021-AND-HIGH-03
022,CUR-N02,022-CUR-N02
023,DEB-N01,023-DEB-N01
024,DLG-N01,024-DLG-N01
025,DLG-N02,025-DLG-N02
026,DLG-N06,026-DLG-N06
027,EDGE-01,027-EDGE-01
028,EDGE-02,028-EDGE-02
029,EDGE-03,029-EDGE-03
030,FINAL-05,030-FINAL-05
031,FINAL-08,031-FINAL-08
032,FINAL-11,032-FINAL-11
033,IMG-N02,033-IMG-N02
034,IO-N02,034-IO-N02
035,JSN-01,035-JSN-01
036,JSON-N01,036-JSON-N01
037,LINK-N01,037-LINK-N01
038,LINK-N02,038-LINK-N02
039,LOG-01,039-LOG-01
040,LOG-02,040-LOG-02
041,MATH-N01,041-MATH-N01
042,MEM-01,042-MEM-01
043,MEM-02,043-MEM-02
044,NET-01,044-NET-01
045,PROP-N01,045-PROP-N01
046,QML-04,046-QML-04
047,QML-05,047-QML-05
048,QML-06,048-QML-06
049,QML-BND-01,049-QML-BND-01
050,R2-WHE-01,050-R2-WHE-01
051,R3-CTX-02,051-R3-CTX-02
052,R3-DOC-03,052-R3-DOC-03
053,R3-DOC-04,053-R3-DOC-04
054,R3-DOC-05,054-R3-DOC-05
055,R3-DOC-07,055-R3-DOC-07
056,R4-EXP-02,056-R4-EXP-02
057,R4-EXP-03,057-R4-EXP-03
058,R4-EXP-04,058-R4-EXP-04
059,R4-ROOT-01,059-R4-ROOT-01
060,REGEX-CRIT-02,060-REGEX-CRIT-02
061,RES-01,061-RES-01
062,RES-02,062-RES-02
063,STR-N01,063-STR-N01
064,W10-CNV2-01,064-W10-CNV2-01
065,W10-CNV2-02,065-W10-CNV2-02
066,W10-HTK-02,066-W10-HTK-02
067,WSM-N01,067-WSM-N01
068,LYR-N01,068-LYR-N01
069,PLAT-03,069-PLAT-03
